Size(N),Processes,Score(GF),NB,P,Q
912,1,2.3,1,1,1
912,1,14.1,32,1,1
2048,1,14.6,32,1,1
4096,1,16.9,32,1,1
4096,1,19.6,128,1,1
9192,1,20.6,128,1,1
9192,1,20.8,256,1,1
12288,1,20.1,256,1,1
10240,1,20.6,256,1,1
10240,1,20.7,512,1,1
10240,1,20.3,384,1,1
11264,1,20.5,512,1,1
10240,2,34,512,2,1
14336,2,33.5,512,2,1
12288,2,34.6,512,2,1
11264,2,34.6,512,2,1
11264,4,65.3,512,4,1
16384,4,72.3,512,4,1
18432,4,72.9,512,4,1
18432,4,68.9,512,2,2
19456,4,65.8,512,4,1
18432,8,120.6,512,8,1
24576,8,129.8,512,8,1
24576,8,137.2,512,4,2
25600,8,138.1,512,4,2
25600,16,248.1,512,8,2
36864,16,272.9,512,8,2
34816,16,270.3,512,8,2
35840,16,273.6,512,8,2
37888,16,276.3,512,8,2
38912,16,277.6,512,8,2
38912,32,360.4,32,16,2
67584,32,459.9,512,16,2
65536,32,459.1,512,16,2
63488,32,454.5,512,16,2
73728,32,320.4,1024,16,2
69632,32,463,512,16,2
69632,32,497.9,256,16,2
70656,32,500,256,16,2
98304,64,892.9,256,16,4
131072,64,927.9,256,16,4