Size(N),NB,Processes,P,Q,Score(GF)
912,1,1,1,1,6.4
912,32,1,1,1,8.4
2048,32,1,1,1,8.4
4096,32,1,1,1,8.6
4096,32,1,1,1,8.8
4096,128,1,1,1,8.7
4096,64,1,1,2,8.8
4096,48,1,1,1,8.8
9192,64,2,2,1,15.6
9192,96,2,2,1,16
9192,128,2,2,1,16.4
10216,256,2,2,1,16.3
10216,128,2,2,1,16.4
17360,128,4,4,1,34
17360,256,4,4,1,32.9
24576,128,8,4,2,64.1
25600,128,8,4,2,58.8
23552,128,8,4,2,57
40960,128,16,8,2,106.7
41984,128,16,8,2,128.7
41984,128,32,8,4,219.8
70656,128,32,8,4,227.5
70656,128,64,16,4,319
108544,128,64,16,4,232
92160,128,64,16,4,300.7
74752,128,64,16,4,338.1
82944,128,64,16,4,322.2